Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Nogales Unified District,0405530,SANTA CRUZ COUNTY,04023,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,1-Primary,431,0,212,219,2,0,428,0,1,0,0,040553000451,A J Mitchell Elementary School,4457,Nogales Unified District,20.0,2015,0,0.4918793503480278,0.5081206496519721,0.004640371229698376,0.0,0.9930394431554525,0.0,0.002320185614849188,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Marana Unified District,0404630,PIMA COUNTY,04019,2-No,1-Title I targeted assistance eligible school-No program,0401,No,3-High,12,,8,4,0,0,7,1,3,0,1,040463000999,A. C. E.,4404,Marana Unified District,8.0,2015,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5833333333333334,0.08333333333333333,0.25,0.0,0.08333333333333333,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Arizona Agribusiness & Equine Center  Inc.,0400106,MARICOPA COUNTY,04013,1-Yes,2-Title I targeted assistance school,0406,No,3-High,386,,121,265,6,6,39,12,319,2,2,040010601892,AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",60.5,2015,1,0.3134715025906736,0.6865284974093264,0.015544041450777202,0.015544041450777202,0.10103626943005181,0.031088082901554404,0.8264248704663213,0.0051813471502590676,0.0051813471502590676,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arizona Agribusiness & Equine Center  Inc.,0400417,MARICOPA COUNTY,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0407,Yes participating without using any Provision or the CEO,3-High,380,282,161,219,2,7,296,37,35,3,0,040041701588,AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",32.5,2015,1,0.4236842105263158,0.5763157894736842,0.005263157894736842,0.018421052631578946,0.7789473684210526,0.09736842105263158,0.09210526315789473,0.007894736842105263,0.0,0.7421052631578947,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prescott Unified District,0406730,YAVAPAI COUNTY,04025,2-No,1-Title I targeted assistance eligible school-No program,0404,Yes participating without using any Provision or the CEO,1-Primary,490,128,240,250,11,14,42,4,409,1,9,040673001433,Abia Judd Elementary School,4466,Prescott Unified District,61.5,2015,0,0.4897959183673469,0.5102040816326531,0.022448979591836733,0.02857142857142857,0.08571428571428572,0.00816326530612245,0.8346938775510204,0.0020408163265306124,0.018367346938775512,0.2612244897959184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Washington Elementary School District,0409060,MARICOPA COUNTY,04013,1-Yes,,0406,Yes participating without using any Provision or the CEO,1-Primary,616,290,300,316,9,61,210,30,287,3,16,040906000652,Abraham Lincoln Traditional School,4260,Washington Elementary School District,57.5,2015,1,0.487012987012987,0.512987012987013,0.01461038961038961,0.09902597402597403,0.3409090909090909,0.048701298701298704,0.4659090909090909,0.00487012987012987,0.025974025974025976,0.4707792207792208,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Washington Elementary School District,0409060,MARICOPA COUNTY,04013,2-No,5-Title I schoolwide school,0406,Yes participating without using any Provision or the CEO,1-Primary,772,559,395,377,31,19,331,37,328,5,21,040906000915,Acacia Elementary School,4260,Washington Elementary School District,50.25,2015,0,0.5116580310880829,0.4883419689119171,0.04015544041450777,0.02461139896373057,0.42875647668393785,0.04792746113989637,0.42487046632124353,0.006476683937823834,0.027202072538860103,0.7240932642487047,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vail Unified District,0408850,PIMA COUNTY,04019,1-Yes,2-Title I targeted assistance school,0402,Yes participating without using any Provision or the CEO,1-Primary,584,191,293,291,7,12,170,14,359,0,22,040885001510,Acacia Elementary School,4413,Vail Unified District,50.25,2015,1,0.5017123287671232,0.4982876712328767,0.011986301369863013,0.02054794520547945,0.2910958904109589,0.023972602739726026,0.6147260273972602,0.0,0.03767123287671233,0.3270547945205479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ed Ahead,0400817,PIMA COUNTY,04019,1-Yes,5-Title I schoolwide school,0402,Yes under Community Eligibility Option (CEO),1-Primary,82,0,43,39,4,0,37,5,33,0,3,040081703191,Academy Adventures Midtown,90506,Ed Ahead,14.0,2015,1,0.524390243902439,0.47560975609756095,0.04878048780487805,0.0,0.45121951219512196,0.06097560975609756,0.4024390243902439,0.0,0.036585365853658534,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy Del Sol  Inc.,0400797,PIMA COUNTY,04019,1-Yes,6-Not a Title I school,0402,No,1-Primary,85,,38,47,3,0,59,12,11,0,0,040079702994,Academy Del Sol,90199,"Academy Del Sol, Inc.",23.5,2015,1,0.4470588235294118,0.5529411764705883,0.03529411764705882,0.0,0.6941176470588235,0.1411764705882353,0.12941176470588237,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
