State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,427,424,204,223,2,"=""0""",425,"=""0""","=""0""","=""0""","=""0""",17.00,25.12,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,24,English Language Arts
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,427,424,204,223,2,"=""0""",425,"=""0""","=""0""","=""0""","=""0""",17.00,25.12,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,19,Math
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,3-High,13,12,11,2,"=""0""","=""0""",2,2,8,"=""0""",1,8.00,1.63,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,English Language Arts
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,3-High,13,12,11,2,"=""0""","=""0""",2,2,8,"=""0""",1,8.00,1.63,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,Math
Arizona,Arizona Agribusiness & Equine Center Inc. 1,"=""0400106""",Maricopa County,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,3-High,406,83,137,269,3,11,45,14,325,2,6,–,–,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",65,English Language Arts
Arizona,Arizona Agribusiness & Equine Center Inc. 1,"=""0400106""",Maricopa County,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,3-High,406,83,137,269,3,11,45,14,325,2,6,–,–,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",53,Math
Arizona,Arizona Agribusiness & Equine Center Inc. 2,"=""0400417""",Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,434,328,186,248,2,3,340,48,38,2,1,–,–,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",36,English Language Arts
Arizona,Arizona Agribusiness & Equine Center Inc. 2,"=""0400417""",Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,434,328,186,248,2,3,340,48,38,2,1,–,–,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",34,Math
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,2-Title I targeted assistance school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,462,111,240,222,13,9,64,2,363,2,9,32.00,14.44,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,66,English Language Arts
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,2-Title I targeted assistance school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,462,111,240,222,13,9,64,2,363,2,9,32.00,14.44,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,54,Math
Arizona,Washington Elementary School District,"=""0409060""",Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0406""",Yes participating without using any Provision or the CEO,1-Primary,602,289,287,315,11,58,205,29,273,5,21,30.25,19.90,"=""040906000652""",Abraham Lincoln Traditional School,4260,Washington Elementary School District,66,English Language Arts
