Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Nogales Unified District,0405530,Santa Cruz County,04023,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,1-Primary,427,424,204,223,2,0,425,0,0,0,0,040553000451,A J Mitchell Elementary School,4457,Nogales Unified District,21.5,2016,0,0.477751756440281,0.522248243559719,0.00468384074941452,0.0,0.9953161592505855,0.0,0.0,0.0,0.0,0.9929742388758782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Marana Unified District,0404630,Pima County,04019,2-No,4-Title I schoolwide eligible school-No program,0401,No,3-High,13,12,11,2,0,0,2,2,8,0,1,040463000999,A. C. E.,4404,Marana Unified District,,2016,0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.0,0.07692307692307693,0.9230769230769231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Arizona Agribusiness & Equine Center Inc. 1,0400106,Maricopa County,04013,1-Yes,2-Title I targeted assistance school,0406,No,3-High,406,83,137,269,3,11,45,14,325,2,6,040010601892,AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",59.0,2016,1,0.3374384236453202,0.6625615763546798,0.007389162561576354,0.027093596059113302,0.11083743842364532,0.034482758620689655,0.8004926108374384,0.0049261083743842365,0.014778325123152709,0.2044334975369458,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arizona Agribusiness & Equine Center Inc. 2,0400417,Maricopa County,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0407,Yes participating without using any Provision or the CEO,3-High,434,328,186,248,2,3,340,48,38,2,1,040041701588,AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",35.0,2016,1,0.42857142857142855,0.5714285714285714,0.004608294930875576,0.0069124423963133645,0.783410138248848,0.11059907834101383,0.08755760368663594,0.004608294930875576,0.002304147465437788,0.7557603686635944,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prescott Unified District,0406730,Yavapai County,04025,2-No,2-Title I targeted assistance school,0404,Yes participating without using any Provision or the CEO,1-Primary,462,111,240,222,13,9,64,2,363,2,9,040673001433,Abia Judd Elementary School,4466,Prescott Unified District,60.0,2016,0,0.5194805194805194,0.4805194805194805,0.02813852813852814,0.01948051948051948,0.13852813852813853,0.004329004329004329,0.7857142857142857,0.004329004329004329,0.01948051948051948,0.24025974025974026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0406,Yes participating without using any Provision or the CEO,1-Primary,602,289,287,315,11,58,205,29,273,5,21,040906000652,Abraham Lincoln Traditional School,4260,Washington Elementary School District,62.5,2016,0,0.47674418604651164,0.5232558139534884,0.018272425249169437,0.09634551495016612,0.34053156146179403,0.04817275747508306,0.45348837209302323,0.008305647840531562,0.03488372093023256,0.48006644518272423,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),1-Primary,824,824,417,407,21,23,349,37,365,3,26,040906000915,Acacia Elementary School,4260,Washington Elementary School District,58.25,2016,0,0.5060679611650486,0.49393203883495146,0.025485436893203883,0.027912621359223302,0.42354368932038833,0.044902912621359224,0.4429611650485437,0.0036407766990291263,0.03155339805825243,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vail Unified District,0408850,Pima County,04019,1-Yes,2-Title I targeted assistance school,0402,Yes participating without using any Provision or the CEO,1-Primary,623,5,330,293,3,8,197,9,374,0,32,040885001510,Acacia Elementary School,4413,Vail Unified District,58.25,2016,1,0.5296950240770465,0.47030497592295345,0.004815409309791332,0.012841091492776886,0.3162118780096308,0.014446227929373997,0.6003210272873194,0.0,0.051364365971107544,0.008025682182985553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ed Ahead,0400817,Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes under Community Eligibility Option (CEO),1-Primary,78,78,36,42,10,0,36,5,24,0,3,040081703191,Academy Adventures Midtown,90506,Ed Ahead,14.5,2016,1,0.46153846153846156,0.5384615384615384,0.1282051282051282,0.0,0.46153846153846156,0.0641025641025641,0.3076923076923077,0.0,0.038461538461538464,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,109,,52,57,3,0,71,6,29,0,0,040079702994,Academy Del Sol,90199,"Academy Del Sol, Inc.",21.5,2016,1,0.47706422018348627,0.5229357798165137,0.027522935779816515,0.0,0.6513761467889908,0.05504587155963303,0.26605504587155965,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
