State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Nogales Unified District,"=""0405530""",SANTA CRUZ COUNTY,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,431,"=""0""",212,219,2,"=""0""",428,"=""0""",1,"=""0""","=""0""",18.50,23.30,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,19,English Language Arts
Arizona,Nogales Unified District,"=""0405530""",SANTA CRUZ COUNTY,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,431,"=""0""",212,219,2,"=""0""",428,"=""0""",1,"=""0""","=""0""",18.50,23.30,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,21,Math
Arizona,Marana Unified District,"=""0404630""",PIMA COUNTY,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0401""",No,3-High,12,–,8,4,"=""0""","=""0""",7,1,3,"=""0""",1,1.00,12.00,"=""040463000999""",A. C. E.,4404,Marana Unified District,8,English Language Arts
Arizona,Marana Unified District,"=""0404630""",PIMA COUNTY,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0401""",No,3-High,12,–,8,4,"=""0""","=""0""",7,1,3,"=""0""",1,1.00,12.00,"=""040463000999""",A. C. E.,4404,Marana Unified District,<2,Math
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400106""",MARICOPA COUNTY,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,3-High,386,–,121,265,6,6,39,12,319,2,2,–,–,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",63,English Language Arts
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400106""",MARICOPA COUNTY,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,3-High,386,–,121,265,6,6,39,12,319,2,2,–,–,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",58,Math
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400417""",MARICOPA COUNTY,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,380,282,161,219,2,7,296,37,35,3,"=""0""",–,–,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",31,English Language Arts
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400417""",MARICOPA COUNTY,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,380,282,161,219,2,7,296,37,35,3,"=""0""",–,–,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",34,Math
Arizona,Prescott Unified District,"=""0406730""",YAVAPAI COUNTY,"=""04025""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,490,128,240,250,11,14,42,4,409,1,9,28.00,17.50,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,63,English Language Arts
Arizona,Prescott Unified District,"=""0406730""",YAVAPAI COUNTY,"=""04025""",2-No,1-Title I targeted assistance eligible school-No program,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,490,128,240,250,11,14,42,4,409,1,9,28.00,17.50,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,60,Math
